what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1546047456875
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1546047456879
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1546047456879
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1546047456879
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1546047456883
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1546047456883
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1546047456883
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1546047456883
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1546047456883
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1546047456887
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1546047456887
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1546047456887
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1546047456887
os,sysinfo,,,"win32",1546047456891
arch,sysinfo,,,"x86_64",1546047456891
ws,sysinfo,,,"win32",1546047456891
locale,sysinfo,,,"en_IN",1546047456891
processors,sysinfo,,,"4",1546047456891
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1546047456891
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1546047456891
java.specification.name,sysinfo,,,"Java Platform API Specification",1546047456891
java.specification.vendor,sysinfo,,,"Oracle Corporation",1546047456891
java.specification.version,sysinfo,,,"1.8",1546047456891
java.vendor,sysinfo,,,"Oracle Corporation",1546047456891
java.version,sysinfo,,,"1.8.0_181",1546047456891
java.vm.info,sysinfo,,,"mixed mode",1546047456891
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1546047456891
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1546047456891
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1546047456891
java.vm.specification.version,sysinfo,,,"1.8",1546047456891
java.vm.vendor,sysinfo,,,"Oracle Corporation",1546047456891
java.vm.version,sysinfo,,,"25.181-b13",1546047456891
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1546047456919
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1546047456947
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1546047456963
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1546047457051
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1546047457067
