what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1543309997190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543309999003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310003476
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1543310003476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310013617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310019913
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1543310019943
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1543310023904
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1543310024554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310026679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310029098
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1543310029098
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1543310029098
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310031283
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310031373
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543310036989
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310149095
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543310149115
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1543310165512
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310165808
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310165868
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543310168856
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543310168906
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310176522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310195399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310197688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310198538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310201078
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.external.javadoc",1543310218899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310218909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310220082
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1543310223106
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1543310226530
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1543310226550
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1543310226590
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.callhierarchy.view",1543310234107
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.callhierarchy.view",1543310234127
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy",1543310234197
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1543310239600
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.callhierarchy.view",1543310239610
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543310243513
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1543310243533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310264945
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1543310264965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543310268157
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1543310274477
