what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1534865283942
processors,sysinfo,,,"4",1534865283942
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1534865283942
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1534865283942
java.specification.name,sysinfo,,,"Java Platform API Specification",1534865283942
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534865283942
java.specification.version,sysinfo,,,"1.8",1534865283942
java.vendor,sysinfo,,,"Oracle Corporation",1534865283942
java.version,sysinfo,,,"1.8.0_181",1534865283942
java.vm.info,sysinfo,,,"mixed mode",1534865283942
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1534865283942
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534865283942
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534865283942
java.vm.specification.version,sysinfo,,,"1.8",1534865283942
java.vm.vendor,sysinfo,,,"Oracle Corporation",1534865283942
java.vm.version,sysinfo,,,"25.181-b13",1534865283942
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1534865624620
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1534865629027
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1534865629386
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1534865629449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865644366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865647678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865659536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865673778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865674531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865677625
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1534865680979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865705327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1534865728882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1534865738927
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1534865739208
