what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1544018366997
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1544018367044
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1544018367091
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1544018367154
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1544018367154
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1544018367154
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1544018367154
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1544018367154
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1544018367154
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1544018367200
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1544018367232
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1544018367232
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1544018367294
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1544018367325
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1544018367325
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1544018367497
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1544018367622
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1544018367622
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1544018367638
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1544018367638
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1544018367654
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1544018367685
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1544018367685
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1544018367685
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1544018367700
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1544018367716
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1544018367732
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1544018367732
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1544018367732
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1544018367747
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1544018367747
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1544018367747
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1544018367747
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1544018367794
os,sysinfo,,,"win32",1544018367810
arch,sysinfo,,,"x86_64",1544018367810
ws,sysinfo,,,"win32",1544018367810
locale,sysinfo,,,"en_IN",1544018367810
processors,sysinfo,,,"4",1544018367810
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1544018367810
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1544018367810
java.specification.name,sysinfo,,,"Java Platform API Specification",1544018367810
java.specification.vendor,sysinfo,,,"Oracle Corporation",1544018367810
java.specification.version,sysinfo,,,"1.8",1544018367810
java.vendor,sysinfo,,,"Oracle Corporation",1544018367810
java.version,sysinfo,,,"1.8.0_181",1544018367810
java.vm.info,sysinfo,,,"mixed mode",1544018367810
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1544018367810
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1544018367810
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1544018367810
java.vm.specification.version,sysinfo,,,"1.8",1544018367810
java.vm.vendor,sysinfo,,,"Oracle Corporation",1544018367810
java.vm.version,sysinfo,,,"25.181-b13",1544018367810
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1544018368372
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1544018368388
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1544018368929
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1544018369007
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1544018369760
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1544018369776
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1544018369823
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1544018369854
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1544018369901
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1544018370229
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1544018370276
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1544018370531
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1544018370531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018370704
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1544018370767
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1544018371164
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1544018371211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018373889
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1544018373936
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1544018376405
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018386533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018445642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018447252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018469343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018476236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018534073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544018567674
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544020407362
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1544020408081
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1544020408252
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1544020408299
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1544020408549
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1544600459616
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1544600459616
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1544600459632
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1544600459663
