what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594081257
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1546594101107
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1546594101117
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1546594101702
started,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1546594107567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594109037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594118736
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1546594120313
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Servlets",1546594120313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594120363
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1546594120373
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1546594120373
error,log,,,"Missing or failed server extension: ServerWorkingCopy Tomcat v7.0 Server at localhost. Enable tracing for more information",1546594120383
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594120603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594129303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594155831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594181985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594264248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594271042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594290623
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594290963
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594291063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594299885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594307078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594412719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594412899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594413486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594420921
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1546594425205
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546594437997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594443655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594463970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594466370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594470317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594478764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594559341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594562706
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594564188
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1546594564198
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/temp",1546594564208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594564238
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1546594564258
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1546594564258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594571516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594703160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594717414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594758374
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594758874
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546594758994
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594767914
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594769778
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1546594770683
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594770713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594773229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594774038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594774278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594778134
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594779563
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594780866
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1546594781605
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1546594781685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594782830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594849599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594851101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594852345
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546594852625
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1546594853525
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1546594853565
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1546594853575
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1546594853595
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1546594853615
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1546594853635
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1546594853655
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1546594853675
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1546594853675
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1546594853685
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1546594853685
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1546599937534
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1546599937536
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1546599937537
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1546599937537
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1546599937538
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1546599937539
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1546599937540
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1546599937541
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1546599937542
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1546599937590
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1546599937591
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1546599937592
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1546599937593
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1546599937594
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1546599937595
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1546599937596
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1546599937598
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1546599937599
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1546599937600
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1546599937602
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1546599937662
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1546599937663
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1546599937664
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1546599937665
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1546599937667
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1546599937668
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1546599937668
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1546599937669
