what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1543490959578
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1543490959578
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1543490959578
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1543490959578
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1543490959578
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1543490959578
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1543490959578
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1543490959578
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1543490959594
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1543490959594
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1543490959594
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1543490959594
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1543490959594
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1543490959594
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1543490959594
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1543490959594
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1543490959594
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1543490959594
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1543490959594
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1543490959594
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1543490959594
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1543490959594
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1543490959594
os,sysinfo,,,"win32",1543490959641
arch,sysinfo,,,"x86_64",1543490959641
ws,sysinfo,,,"win32",1543490959641
locale,sysinfo,,,"en_IN",1543490959641
processors,sysinfo,,,"4",1543490959641
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1543490959641
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1543490959641
java.specification.name,sysinfo,,,"Java Platform API Specification",1543490959641
java.specification.vendor,sysinfo,,,"Oracle Corporation",1543490959641
java.specification.version,sysinfo,,,"1.8",1543490959641
java.vendor,sysinfo,,,"Oracle Corporation",1543490959641
java.version,sysinfo,,,"1.8.0_181",1543490959641
java.vm.info,sysinfo,,,"mixed mode",1543490959641
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1543490959641
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543490959641
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1543490959641
java.vm.specification.version,sysinfo,,,"1.8",1543490959641
java.vm.vendor,sysinfo,,,"Oracle Corporation",1543490959641
java.vm.version,sysinfo,,,"25.181-b13",1543490959641
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1543490960078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543490970195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543490971693
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543490980342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491042491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491131318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543491245274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543491267276
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1543491269714
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1543491269807
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1543491269854
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543491270415
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543491270462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491270899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491313579
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491329657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491337161
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491337223
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1543491356508
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1543491360934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491366871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543491382538
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491382647
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491382725
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1543491395225
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1543491395240
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543491417294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543491568637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1543491658543
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491758511
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491763461
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543491783856
